run_id,note,engine,mode,shards,server_threads,shard_io_threads,cores_used,server_cpus,client_cpus,client_threads,client_conns,pipeline,ratio,data_bytes,key_max,test_time,populate,rep,ops_per_sec,ops_per_core,p50_ms,p99_ms,p999_ms,hit_rate,hits_per_sec,misses_per_sec,conn_errors,kb_per_sec
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,1,1:10,100,1000000,20,1,1,656879.08,164219.77,1.439,2.911,4.063,1.0,597140.55,0.0,0,91311.1
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,1,1:1,100,1000000,20,1,1,628338.58,157084.64,1.495,2.943,3.951,1.0,314157.37,0.0,0,88598.79
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,1,mget10,100,1000000,20,1,1,246302.3,61575.57,3.727,8.127,10.495,1.0,2463023.0,0.0,0,629653.1
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,1,mset10,100,1000000,20,1,1,159081.26,39770.32,4.991,18.687,26.879,,0.0,0.0,0,406679.23
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,1,1:10,100,1000000,20,1,2,627054.75,156763.69,1.503,2.879,3.903,1.0,570028.35,0.0,0,87165.3
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,1,1:1,100,1000000,20,1,2,629321.67,157330.42,1.503,2.671,3.759,1.0,314649.31,0.0,0,88737.44
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,1,mget10,100,1000000,20,1,2,246340.88,61585.22,3.711,8.095,10.367,1.0,2463408.79,0.0,0,629751.73
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,1,mset10,100,1000000,20,1,2,159038.15,39759.54,4.991,18.559,26.111,,0.0,0.0,0,406569.03
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,16,1:10,100,1000000,20,1,1,2043689.61,510922.4,6.655,20.223,27.007,1.0,1857879.46,0.0,0,284087.9
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,16,1:1,100,1000000,20,1,1,2083013.93,520753.48,6.527,19.967,26.495,1.0,1041502.09,0.0,0,293715.03
